submission_a,submission_b,assignment_id,token_similarity,line_similarity,length_similarity,typing_speed_gap,idle_ratio_gap,paste_ratio_gap,tab_switch_gap,suspicion_gap,label,risk_level
sub_0002,sub_0010,assignment_001,0.24,0.0,0.9371,4,0.01,0.03,0,2,0,low
sub_0002,sub_0011,assignment_001,0.3636,0.0,0.715,1,0.03,0.01,1,6,0,low
sub_0002,sub_1001,assignment_001,0.25,0.0,0.9231,43,0.23,0.77,7,80,0,low
sub_0002,sub_1002,assignment_001,0.3043,0.25,0.958,40,0.2,0.8,6,78,0,low
sub_0002,sub_1003,assignment_001,0.75,0.25,0.8601,46,0.26,0.83,8,84,0,medium
sub_0002,sub_1004,assignment_001,0.5625,0.0526,0.979,42,0.21,0.78,7,79,0,low
sub_0002,sub_1005,assignment_001,0.2857,0.0,0.6364,38,0.18,0.72,5,75,0,low
sub_0002,sub_1006,assignment_001,0.25,0.0,0.9441,44,0.24,0.81,9,83,0,low
sub_0002,sub_1007,assignment_001,0.2857,0.0,0.6224,36,0.17,0.68,6,72,0,low
sub_0002,sub_1008,assignment_001,0.381,0.0,0.7902,41,0.22,0.76,7,77,0,low
sub_0002,sub_1009,assignment_001,0.3889,0.0,0.9226,45,0.25,0.84,8,85,0,low
sub_0002,sub_1010,assignment_001,0.35,0.0,0.9021,39,0.19,0.74,6,76,0,low
sub_0003,sub_0004,assignment_001,0.4783,0.0,0.6339,15,0.12,0.02,3,11,0,low
sub_0003,sub_0005,assignment_001,0.48,0.0,0.9617,3,0.05,0.03,1,7,0,low
sub_0003,sub_0006,assignment_001,0.4783,0.0588,0.6448,10,0.1,0.0,2,9,0,low
sub_0003,sub_0007,assignment_001,0.7,0.0714,0.5792,5,0.01,0.01,1,2,0,medium
sub_0003,sub_0008,assignment_001,0.5833,0.3125,0.9385,13,0.15,0.01,4,14,0,low
sub_0003,sub_0009,assignment_001,0.4074,0.0,0.8756,2,0.01,0.02,0,2,0,low
sub_0003,sub_0010,assignment_001,0.6364,0.2143,0.7322,8,0.07,0.02,2,8,0,medium
sub_0003,sub_0011,assignment_001,0.3462,0.0,0.915,11,0.11,0.0,3,12,0,low
sub_0003,sub_1001,assignment_001,0.5909,0.1765,0.7213,31,0.31,0.76,9,86,0,low
sub_0003,sub_1002,assignment_001,0.5217,0.0,0.7486,28,0.28,0.79,8,84,0,low
sub_0003,sub_1003,assignment_001,0.2692,0.0,0.6721,34,0.34,0.82,10,90,0,low
sub_0003,sub_1004,assignment_001,0.3043,0.1765,0.765,30,0.29,0.77,9,85,0,low
sub_0003,sub_1005,assignment_001,0.4545,0.0,0.4973,26,0.26,0.71,7,81,0,low
sub_0003,sub_1006,assignment_001,0.4583,0.0,0.7377,32,0.32,0.8,11,89,0,low
sub_0003,sub_1007,assignment_001,0.6842,0.0714,0.4863,24,0.25,0.67,8,78,0,medium
sub_0003,sub_1008,assignment_001,0.4783,0.0,0.6175,29,0.3,0.75,9,83,0,low
sub_0003,sub_1009,assignment_001,0.3043,0.0,0.847,33,0.33,0.83,10,91,0,low
sub_0003,sub_1010,assignment_001,0.3333,0.0,0.7049,27,0.27,0.73,8,82,0,low
sub_0004,sub_0005,assignment_001,0.5714,0.0,0.6591,12,0.07,0.01,2,4,0,low
sub_0004,sub_0006,assignment_001,0.5,0.0,0.9831,5,0.02,0.02,1,2,0,low
sub_0004,sub_0007,assignment_001,0.5789,0.0,0.9138,10,0.11,0.03,2,9,0,low
sub_0004,sub_0008,assignment_001,0.4783,0.0,0.5949,2,0.03,0.01,1,3,0,low
sub_0004,sub_0009,assignment_001,0.5455,0.0,0.555,17,0.13,0.04,3,13,0,low
sub_0004,sub_0010,assignment_001,0.4545,0.0,0.8657,7,0.05,0.0,1,3,0,low
sub_0004,sub_0011,assignment_001,0.3478,0.0,0.58,4,0.01,0.02,0,1,0,low
sub_0004,sub_1001,assignment_001,0.6316,0.0714,0.8788,46,0.19,0.74,6,75,0,medium
sub_0004,sub_1002,assignment_001,0.55,0.0,0.8467,43,0.16,0.77,5,73,0,low
sub_0004,sub_1003,assignment_001,0.2609,0.0,0.9431,49,0.22,0.8,7,79,0,low
sub_0004,sub_1004,assignment_001,0.2381,0.0,0.8286,45,0.17,0.75,6,74,0,low
sub_0004,sub_1005,assignment_001,0.75,0.1111,0.7845,41,0.14,0.69,4,70,0,medium
sub_0004,sub_1006,assignment_001,0.8235,0.1,0.8593,47,0.2,0.78,8,78,0,medium
sub_0004,sub_1007,assignment_001,0.5556,0.0,0.7672,39,0.13,0.65,5,67,0,low
sub_0004,sub_1008,assignment_001,0.5,0.0,0.9741,44,0.18,0.73,6,72,0,low
sub_0004,sub_1009,assignment_001,0.3684,0.0,0.7484,48,0.21,0.81,7,80,0,low
sub_0004,sub_1010,assignment_001,0.3333,0.0,0.8992,42,0.15,0.71,5,71,0,low
sub_0005,sub_0006,assignment_001,0.375,0.0,0.6705,7,0.05,0.03,1,2,0,low
sub_0005,sub_0007,assignment_001,0.5714,0.0,0.6023,2,0.04,0.04,0,5,0,low
sub_0005,sub_0008,assignment_001,0.48,0.0556,0.9026,10,0.1,0.02,3,7,0,low
sub_0005,sub_0009,assignment_001,0.6087,0.0526,0.8421,5,0.06,0.05,1,9,0,medium
sub_0005,sub_0010,assignment_001,0.4,0.0,0.7614,5,0.02,0.01,1,1,0,low
sub_0005,sub_0011,assignment_001,0.3077,0.0,0.88,8,0.06,0.03,2,5,0,low
sub_0005,sub_1001,assignment_001,0.4783,0.0,0.75,34,0.26,0.73,8,79,0,low
sub_0005,sub_1002,assignment_001,0.4167,0.0,0.7784,31,0.23,0.76,7,77,0,low
sub_0005,sub_1003,assignment_001,0.2308,0.0,0.6989,37,0.29,0.79,9,83,0,low
sub_0005,sub_1004,assignment_001,0.2083,0.0,0.7955,33,0.24,0.74,8,78,0,low
sub_0005,sub_1005,assignment_001,0.4762,0.0,0.517,29,0.21,0.68,6,74,0,low
sub_0005,sub_1006,assignment_001,0.5455,0.0,0.767,35,0.27,0.77,10,82,0,low
sub_0005,sub_1007,assignment_001,0.4762,0.0,0.5057,27,0.2,0.64,7,71,0,low
sub_0005,sub_1008,assignment_001,0.5,0.0833,0.642,32,0.25,0.72,8,76,0,low
sub_0005,sub_1009,assignment_001,0.2609,0.0,0.8807,36,0.28,0.8,9,84,0,low
sub_0005,sub_1010,assignment_001,0.2917,0.0,0.733,30,0.22,0.7,7,75,0,low
sub_0006,sub_0007,assignment_001,0.5,0.0,0.8983,5,0.09,0.01,1,7,0,low
sub_0006,sub_0008,assignment_001,0.4167,0.0,0.6051,3,0.05,0.01,2,5,0,low
sub_0006,sub_0009,assignment_001,0.36,0.0,0.5646,12,0.11,0.02,2,11,0,low
sub_0006,sub_0010,assignment_001,0.3913,0.0,0.8806,2,0.03,0.02,0,1,0,low
sub_0006,sub_0011,assignment_001,0.2917,0.0,0.59,1,0.01,0.0,1,3,0,low
sub_0006,sub_1001,assignment_001,0.4762,0.0,0.8939,41,0.21,0.76,7,77,0,low
sub_0006,sub_1002,assignment_001,0.55,0.0,0.8613,38,0.18,0.79,6,75,0,low
sub_0006,sub_1003,assignment_001,0.2083,0.0,0.9593,44,0.24,0.82,8,81,0,low
sub_0006,sub_1004,assignment_001,0.2381,0.0,0.8429,40,0.19,0.77,7,76,0,low
sub_0006,sub_1005,assignment_001,0.5556,0.0833,0.7712,36,0.16,0.71,5,72,0,low
sub_0006,sub_1006,assignment_001,0.55,0.0,0.8741,42,0.22,0.8,9,80,0,low
sub_0006,sub_1007,assignment_001,0.4737,0.0,0.7542,34,0.15,0.67,6,69,0,low
sub_0006,sub_1008,assignment_001,0.5,0.0,0.9576,39,0.2,0.75,7,74,0,low
sub_0006,sub_1009,assignment_001,0.3,0.0,0.7613,43,0.23,0.83,8,82,0,low
sub_0006,sub_1010,assignment_001,0.5556,0.2857,0.9147,37,0.17,0.73,6,73,0,low
sub_0007,sub_0008,assignment_001,0.619,0.0667,0.5436,8,0.14,0.02,3,12,0,medium
sub_0007,sub_0009,assignment_001,0.4167,0.0625,0.5072,7,0.02,0.01,1,4,0,low
sub_0007,sub_0010,assignment_001,0.6842,0.2,0.791,3,0.06,0.03,1,6,0,medium
sub_0007,sub_0011,assignment_001,0.4091,0.0,0.53,6,0.1,0.01,2,10,0,low
sub_0007,sub_1001,assignment_001,0.7222,0.0,0.803,36,0.3,0.77,8,84,0,medium
sub_0007,sub_1002,assignment_001,0.4762,0.0,0.7737,33,0.27,0.8,7,82,0,low
sub_0007,sub_1003,assignment_001,0.3182,0.0,0.8618,39,0.33,0.83,9,88,0,low
sub_0007,sub_1004,assignment_001,0.4444,0.0,0.7571,35,0.28,0.78,8,83,0,low
sub_0007,sub_1005,assignment_001,0.5556,0.0,0.8585,31,0.25,0.72,6,79,0,low
sub_0007,sub_1006,assignment_001,0.55,0.0,0.7852,37,0.31,0.81,10,87,0,low
sub_0007,sub_1007,assignment_001,0.8667,0.4286,0.8396,29,0.24,0.68,7,76,0,high
sub_0007,sub_1008,assignment_001,0.6667,0.0,0.9381,34,0.29,0.76,8,81,0,medium
sub_0007,sub_1009,assignment_001,0.3684,0.0,0.6839,38,0.32,0.84,9,89,0,low
sub_0007,sub_1010,assignment_001,0.4,0.0,0.8217,32,0.26,0.74,7,80,0,low
sub_0008,sub_0009,assignment_001,0.4615,0.0952,0.933,15,0.16,0.03,4,16,0,low
sub_0008,sub_0010,assignment_001,0.5652,0.125,0.6872,5,0.08,0.01,2,6,0,low
sub_0008,sub_0011,assignment_001,0.2963,0.0,0.975,2,0.04,0.01,1,2,0,low
sub_0008,sub_1001,assignment_001,0.6667,0.2353,0.6769,44,0.16,0.75,5,72,0,medium
sub_0008,sub_1002,assignment_001,0.4,0.0,0.7026,41,0.13,0.78,4,70,0,low
sub_0008,sub_1003,assignment_001,0.2692,0.0,0.6308,47,0.19,0.81,6,76,0,low
sub_0008,sub_1004,assignment_001,0.3043,0.2353,0.7179,43,0.14,0.76,5,71,0,low
sub_0008,sub_1005,assignment_001,0.4545,0.0,0.4667,39,0.11,0.7,3,67,0,low
sub_0008,sub_1006,assignment_001,0.4,0.0,0.6923,45,0.17,0.79,7,75,0,low
sub_0008,sub_1007,assignment_001,0.6,0.0667,0.4564,37,0.1,0.66,4,64,0,medium
sub_0008,sub_1008,assignment_001,0.4783,0.0,0.5795,42,0.15,0.74,5,69,0,low
sub_0008,sub_1009,assignment_001,0.3043,0.0,0.7949,46,0.18,0.82,6,77,0,low
sub_0008,sub_1010,assignment_001,0.28,0.0,0.6615,40,0.12,0.72,4,68,0,low
sub_0009,sub_0010,assignment_001,0.3333,0.0,0.6411,10,0.08,0.04,2,10,0,low
sub_0009,sub_0011,assignment_001,0.25,0.0,0.9569,13,0.12,0.02,3,14,0,low
sub_0009,sub_1001,assignment_001,0.4583,0.0,0.6316,29,0.32,0.78,9,88,0,low
sub_0009,sub_1002,assignment_001,0.4,0.0,0.6555,26,0.29,0.81,8,86,0,low
sub_0009,sub_1003,assignment_001,0.2222,0.0,0.5885,32,0.35,0.84,10,92,0,low
sub_0009,sub_1004,assignment_001,0.2,0.0,0.6699,28,0.3,0.79,9,87,0,low
sub_0009,sub_1005,assignment_001,0.6,0.0625,0.4354,24,0.27,0.73,7,83,0,medium
sub_0009,sub_1006,assignment_001,0.4583,0.0,0.6459,30,0.33,0.82,11,91,0,low
sub_0009,sub_1007,assignment_001,0.4545,0.1333,0.4258,22,0.26,0.69,8,80,0,low
sub_0009,sub_1008,assignment_001,0.36,0.0,0.5407,27,0.31,0.77,9,85,0,low
sub_0009,sub_1009,assignment_001,0.3043,0.0476,0.7416,31,0.34,0.85,10,93,0,low
sub_0009,sub_1010,assignment_001,0.2308,0.0,0.6172,25,0.28,0.75,8,84,0,low
sub_0010,sub_0011,assignment_001,0.375,0.0,0.67,3,0.04,0.02,1,4,0,low
sub_0010,sub_1001,assignment_001,0.65,0.1333,0.9851,39,0.24,0.74,7,78,0,medium
sub_0010,sub_1002,assignment_001,0.375,0.0,0.9781,36,0.21,0.77,6,76,0,low
sub_0010,sub_1003,assignment_001,0.24,0.0,0.9179,42,0.27,0.8,8,82,0,low
sub_0010,sub_1004,assignment_001,0.3333,0.1333,0.9571,38,0.22,0.75,7,77,0,low
sub_0010,sub_1005,assignment_001,0.4286,0.0,0.6791,34,0.19,0.69,5,73,0,low
sub_0010,sub_1006,assignment_001,0.375,0.0,0.9926,40,0.25,0.78,9,81,0,low
sub_0010,sub_1007,assignment_001,0.6667,0.0909,0.6642,32,0.18,0.65,6,70,0,medium
sub_0010,sub_1008,assignment_001,0.5238,0.0,0.8433,37,0.23,0.73,7,75,0,low
sub_0010,sub_1009,assignment_001,0.2727,0.0,0.8645,41,0.26,0.81,8,83,0,low
sub_0010,sub_1010,assignment_001,0.25,0.0,0.9627,35,0.2,0.71,6,74,0,low
sub_0011,sub_1001,assignment_001,0.3333,0.0,0.66,42,0.2,0.76,6,74,0,low
sub_0011,sub_1002,assignment_001,0.28,0.0,0.685,39,0.17,0.79,5,72,0,low
sub_0011,sub_1003,assignment_001,0.3636,0.0,0.615,45,0.23,0.82,7,78,0,low
sub_0011,sub_1004,assignment_001,0.35,0.0,0.7,41,0.18,0.77,6,73,0,low
sub_0011,sub_1005,assignment_001,0.3182,0.0,0.455,37,0.15,0.71,4,69,0,low
sub_0011,sub_1006,assignment_001,0.3333,0.0,0.675,43,0.21,0.8,8,77,0,low
sub_0011,sub_1007,assignment_001,0.3182,0.0,0.445,35,0.14,0.67,5,66,0,low
sub_0011,sub_1008,assignment_001,0.3478,0.0,0.565,40,0.19,0.75,6,71,0,low
sub_0011,sub_1009,assignment_001,0.5882,0.5,0.775,44,0.22,0.83,7,79,0,low
sub_0011,sub_1010,assignment_001,0.45,0.05,0.645,38,0.16,0.73,5,70,0,low
sub_1001,sub_1002,assignment_001,0.5238,0.0,0.9635,3,0.03,0.03,1,2,1,low
sub_1001,sub_1003,assignment_001,0.25,0.0,0.9318,3,0.03,0.06,1,4,1,low
sub_1001,sub_1004,assignment_001,0.35,0.25,0.9429,1,0.02,0.01,0,1,1,low
sub_1001,sub_1005,assignment_001,0.6111,0.0714,0.6894,5,0.05,0.05,2,5,1,medium
sub_1001,sub_1006,assignment_001,0.5238,0.0,0.9778,1,0.01,0.04,2,3,1,low
sub_1001,sub_1007,assignment_001,0.7059,0.0,0.6742,7,0.06,0.09,1,8,1,medium
sub_1001,sub_1008,assignment_001,0.55,0.0,0.8561,2,0.01,0.01,0,3,1,low
sub_1001,sub_1009,assignment_001,0.35,0.0,0.8516,2,0.02,0.07,1,5,1,low
sub_1001,sub_1010,assignment_001,0.3182,0.0,0.9773,4,0.04,0.03,1,4,1,low
sub_1002,sub_1003,assignment_001,0.3043,0.25,0.8978,6,0.06,0.03,2,6,1,low
sub_1002,sub_1004,assignment_001,0.2273,0.0,0.9786,2,0.01,0.02,1,1,1,low
sub_1002,sub_1005,assignment_001,0.5263,0.0,0.6642,2,0.02,0.08,1,3,1,low
sub_1002,sub_1006,assignment_001,0.6,0.0667,0.9854,4,0.04,0.01,3,5,1,medium
sub_1002,sub_1007,assignment_001,0.45,0.0,0.6496,4,0.03,0.12,0,6,1,low
sub_1002,sub_1008,assignment_001,0.6316,0.0,0.8248,1,0.02,0.04,1,1,1,medium
sub_1002,sub_1009,assignment_001,0.2857,0.0,0.8839,5,0.05,0.04,2,7,1,low
sub_1002,sub_1010,assignment_001,0.381,0.0,0.9416,1,0.01,0.06,0,2,1,low
sub_1003,sub_1004,assignment_001,0.3889,0.0,0.8786,4,0.05,0.05,1,5,1,low
sub_1003,sub_1005,assignment_001,0.2857,0.0,0.7398,8,0.08,0.11,3,9,1,low
sub_1003,sub_1006,assignment_001,0.25,0.0,0.9111,2,0.02,0.02,1,1,1,low
sub_1003,sub_1007,assignment_001,0.2857,0.0,0.7236,10,0.09,0.15,2,12,1,low
sub_1003,sub_1008,assignment_001,0.381,0.0,0.9187,5,0.04,0.07,1,7,1,low
sub_1003,sub_1009,assignment_001,0.3889,0.0,0.7935,1,0.01,0.01,0,1,1,low
sub_1003,sub_1010,assignment_001,0.4211,0.0,0.9535,7,0.07,0.09,2,8,1,low
sub_1004,sub_1005,assignment_001,0.2632,0.0,0.65,4,0.03,0.06,2,4,1,low
sub_1004,sub_1006,assignment_001,0.2857,0.0,0.9643,2,0.03,0.03,2,4,1,low
sub_1004,sub_1007,assignment_001,0.4118,0.0,0.6357,6,0.04,0.1,1,7,1,low
sub_1004,sub_1008,assignment_001,0.3,0.0,0.8071,1,0.01,0.02,0,2,1,low
sub_1004,sub_1009,assignment_001,0.375,0.0,0.9032,3,0.04,0.06,1,6,1,low
sub_1004,sub_1010,assignment_001,0.4118,0.0,0.9214,3,0.02,0.04,1,3,1,low
sub_1005,sub_1006,assignment_001,0.6111,0.0,0.6741,6,0.06,0.09,4,8,1,medium
sub_1005,sub_1007,assignment_001,0.625,0.1111,0.978,2,0.01,0.04,1,3,1,medium
sub_1005,sub_1008,assignment_001,0.4737,0.0,0.8053,3,0.04,0.04,2,2,1,low
sub_1005,sub_1009,assignment_001,0.4118,0.0714,0.5871,7,0.07,0.12,3,10,1,low
sub_1005,sub_1010,assignment_001,0.3684,0.0714,0.7054,1,0.01,0.02,1,1,1,low
sub_1006,sub_1007,assignment_001,0.45,0.0,0.6593,8,0.07,0.13,3,11,1,low
sub_1006,sub_1008,assignment_001,0.55,0.0,0.837,3,0.02,0.05,2,6,1,low
sub_1006,sub_1009,assignment_001,0.2857,0.0,0.871,1,0.01,0.03,1,2,1,low
sub_1006,sub_1010,assignment_001,0.45,0.0667,0.9556,5,0.05,0.07,3,7,1,low
sub_1007,sub_1008,assignment_001,0.5556,0.0,0.7876,5,0.05,0.08,1,5,1,low
sub_1007,sub_1009,assignment_001,0.4118,0.0714,0.5742,9,0.08,0.16,2,13,1,low
sub_1007,sub_1010,assignment_001,0.3,0.0,0.6899,3,0.02,0.06,0,4,1,low
sub_1008,sub_1009,assignment_001,0.3,0.0,0.729,4,0.03,0.08,1,8,1,low
sub_1008,sub_1010,assignment_001,0.4,0.0,0.876,2,0.03,0.02,1,1,1,low
sub_1009,sub_1010,assignment_001,0.4118,0.0526,0.8323,6,0.06,0.1,2,9,1,low
sub_0012,sub_0013,assignment_002,0.3684,0.0833,0.76,5,0.07,0.02,1,2,0,low
sub_0012,sub_0014,assignment_002,0.5294,0.1538,0.57,7,0.03,0.02,1,6,0,low
sub_0012,sub_0015,assignment_002,0.35,0.1429,0.5481,2,0.04,0.01,0,2,0,low
sub_0012,sub_0016,assignment_002,0.5882,0.2727,0.5534,7,0.1,0.03,1,4,0,low
sub_0012,sub_0017,assignment_002,0.6429,0.2,0.75,2,0.01,0.01,0,4,0,medium
sub_0012,sub_0018,assignment_002,0.5,0.3,0.7972,4,0.06,0.0,1,1,0,low
sub_0012,sub_0019,assignment_002,0.5556,0.1429,0.4368,4,0.01,0.03,1,8,0,low
sub_0012,sub_0020,assignment_002,0.4286,0.25,0.57,1,0.03,0.01,0,3,0,low
sub_0012,sub_0021,assignment_002,0.5,0.0769,0.623,6,0.08,0.02,1,3,0,low
sub_0012,sub_1011,assignment_002,0.6667,0.4286,0.9649,58,0.16,0.79,12,83,0,medium
sub_0012,sub_1012,assignment_002,0.5333,0.1,0.8444,54,0.14,0.76,11,81,0,low
sub_0012,sub_1013,assignment_002,0.5,0.1818,0.8507,62,0.17,0.82,13,85,0,low
sub_0012,sub_1014,assignment_002,0.4118,0.1818,0.7451,56,0.15,0.77,10,80,0,low
sub_0012,sub_1015,assignment_002,0.35,0.1429,0.4914,51,0.12,0.73,9,77,0,low
sub_0012,sub_1016,assignment_002,0.3333,0.1429,0.5534,60,0.16,0.8,12,84,0,low
sub_0012,sub_1017,assignment_002,0.5263,0.1429,0.4893,53,0.13,0.75,10,78,0,low
sub_0012,sub_1018,assignment_002,0.5263,0.2308,0.427,57,0.15,0.78,11,82,0,low
sub_0012,sub_1019,assignment_002,0.3913,0.1538,0.5561,55,0.14,0.74,9,79,0,low
sub_0012,sub_1020,assignment_002,0.4737,0.1667,0.5907,61,0.16,0.81,13,86,0,low
sub_0013,sub_0014,assignment_002,0.4286,0.0588,0.75,12,0.1,0.04,2,8,0,low
sub_0013,sub_0015,assignment_002,0.3478,0.0556,0.7212,3,0.03,0.01,1,4,0,low
sub_0013,sub_0016,assignment_002,0.2917,0.0625,0.7282,2,0.03,0.01,0,2,0,low
sub_0013,sub_0017,assignment_002,0.35,0.0714,0.9868,7,0.06,0.03,1,6,0,low
sub_0013,sub_0018,assignment_002,0.3333,0.0667,0.9533,1,0.01,0.02,0,3,0,low
sub_0013,sub_0019,assignment_002,0.3333,0.0556,0.5747,9,0.08,0.05,2,10,0,low
sub_0013,sub_0020,assignment_002,0.4783,0.0588,0.75,4,0.04,0.01,1,5,0,low
sub_0013,sub_0021,assignment_002,0.4167,0.0625,0.8197,1,0.01,0.0,0,1,0,low
sub_0013,sub_1011,assignment_002,0.5,0.0833,0.7333,63,0.23,0.81,13,85,0,low
sub_0013,sub_1012,assignment_002,0.5,0.2727,0.9,59,0.21,0.78,12,83,0,low
sub_0013,sub_1013,assignment_002,0.5556,0.0667,0.8933,67,0.24,0.84,14,87,0,low
sub_0013,sub_1014,assignment_002,0.5556,0.0667,0.9804,61,0.22,0.79,11,82,0,low
sub_0013,sub_1015,assignment_002,0.2917,0.0556,0.6466,56,0.19,0.75,10,79,0,low
sub_0013,sub_1016,assignment_002,0.3333,0.0556,0.7282,65,0.23,0.82,13,86,0,low
sub_0013,sub_1017,assignment_002,0.32,0.0556,0.6438,58,0.2,0.77,11,80,0,low
sub_0013,sub_1018,assignment_002,0.2692,0.0556,0.5618,62,0.22,0.8,12,84,0,low
sub_0013,sub_1019,assignment_002,0.44,0.0588,0.7317,60,0.21,0.76,10,81,0,low
sub_0013,sub_1020,assignment_002,0.4545,0.0625,0.7772,66,0.23,0.83,14,88,0,low
sub_0014,sub_0015,assignment_002,0.4091,0.05,0.9615,9,0.07,0.03,1,4,0,low
sub_0014,sub_0016,assignment_002,0.3478,0.1176,0.9709,14,0.13,0.05,2,10,0,low
sub_0014,sub_0017,assignment_002,0.5,0.2143,0.76,5,0.04,0.01,1,2,0,low
sub_0014,sub_0018,assignment_002,0.4,0.125,0.715,11,0.09,0.02,2,5,0,low
sub_0014,sub_0019,assignment_002,0.5238,0.1667,0.7663,3,0.02,0.01,0,2,0,low
sub_0014,sub_0020,assignment_002,0.4783,0.1111,1.0,8,0.06,0.03,1,3,0,low
sub_0014,sub_0021,assignment_002,0.4783,0.0556,0.915,13,0.11,0.04,2,9,0,low
sub_0014,sub_1011,assignment_002,0.6,0.1538,0.55,51,0.13,0.77,11,77,0,medium
sub_0014,sub_1012,assignment_002,0.35,0.0667,0.675,47,0.11,0.74,10,75,0,low
sub_0014,sub_1013,assignment_002,0.3333,0.2,0.67,55,0.14,0.8,12,79,0,low
sub_0014,sub_1014,assignment_002,0.4737,0.2,0.765,49,0.12,0.75,9,74,0,low
sub_0014,sub_1015,assignment_002,0.4762,0.05,0.8621,44,0.09,0.71,8,71,0,low
sub_0014,sub_1016,assignment_002,0.3913,0.1667,0.9709,53,0.13,0.78,11,78,0,low
sub_0014,sub_1017,assignment_002,0.5,0.1667,0.8584,46,0.1,0.73,9,72,0,low
sub_0014,sub_1018,assignment_002,0.5,0.1053,0.7491,50,0.12,0.76,10,76,0,low
sub_0014,sub_1019,assignment_002,0.44,0.1765,0.9756,48,0.11,0.72,8,73,0,low
sub_0014,sub_1020,assignment_002,0.6,0.1875,0.965,54,0.13,0.79,12,80,0,medium
sub_0015,sub_0016,assignment_002,0.28,0.1111,0.9904,5,0.06,0.02,1,6,0,low
sub_0015,sub_0017,assignment_002,0.3333,0.0588,0.7308,4,0.03,0.02,0,2,0,low
sub_0015,sub_0018,assignment_002,0.3182,0.1176,0.6875,2,0.02,0.01,1,1,0,low
sub_0015,sub_0019,assignment_002,0.32,0.0476,0.7969,6,0.05,0.04,1,6,0,low
sub_0015,sub_0020,assignment_002,0.2963,0.1053,0.9615,1,0.01,0.0,0,1,0,low
sub_0015,sub_0021,assignment_002,0.25,0.0526,0.8798,4,0.04,0.01,1,5,0,low
sub_0015,sub_1011,assignment_002,0.3889,0.1429,0.5288,60,0.2,0.8,12,81,0,low
sub_0015,sub_1012,assignment_002,0.3333,0.0625,0.649,56,0.18,0.77,11,79,0,low
sub_0015,sub_1013,assignment_002,0.3182,0.0556,0.6442,64,0.21,0.83,13,83,0,low
sub_0015,sub_1014,assignment_002,0.3182,0.0556,0.7356,58,0.19,0.78,10,78,0,low
sub_0015,sub_1015,assignment_002,0.6842,0.1579,0.8966,53,0.16,0.74,9,75,0,medium
sub_0015,sub_1016,assignment_002,0.8333,0.2941,0.9904,62,0.2,0.81,12,82,0,medium
